2022-08-13 23:08:936 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-13 23:08:220 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (99dc16f9d047f454bcb8b9396b1e0edf)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-13 23:08:261 INFO  HomePage :34 - Verifying the demopage text[[ChromeDriver: chrome on WINDOWS (99dc16f9d047f454bcb8b9396b1e0edf)] -> xpath: //h1[normalize-space()='Open Demo Account']]
2022-08-13 23:08:273 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-13 23:08:934 INFO  HomePage :29 - Clicking on Try Free Demo : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> xpath: //a[@class='btn hp-submit-btn hp-demo-acc-btn']]
2022-08-13 23:08:659 INFO  CreateDemoAccountPage :54 - Sending First Name : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> id: name]
2022-08-13 23:08:722 INFO  CreateDemoAccountPage :59 - Sending last name: [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> id: lastName]
2022-08-13 23:08:788 INFO  CreateDemoAccountPage :67 - Sending email address : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> id: email]
2022-08-13 23:08:849 INFO  CreateDemoAccountPage :72 - Sending phone number : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> id: phoneInput]
2022-08-13 23:08:932 INFO  CreateDemoAccountPage :84 - Clicking on Newletter box : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> xpath: //label[@for='NewsLetter']]
2022-08-13 23:08:37 INFO  CreateDemoAccountPage :90 - Clicking on Terms and Conditions Box : [[ChromeDriver: chrome on WINDOWS (d02688aebd30e86c992631de8f93f971)] -> xpath: //label[@for='GDPR']]
